review,verified
"Still hasn't shipped yet after a week. I will update a review on the actual unit when /if I receive it. For now, 3 stars because of the horrific customer service. Unbelievably bad. I am still quite skeptical about this purchase, as I've never heard of the brand. We will see how it goes.",verified
"I wanted something new but different and trendy. We all use mobiles now but at times we need a landline in our office. During my travels to Asia, Australia and Europe in the last 1-year, I wondered how come they have such stylish designs of phones, vibrant colors etc. and we do not have them in California? I went to 3 largest electronics stores here and found a ton of AT&T, RCA, Motorola, GE, Panasonic etc. but same old designs with minor changes and unnecessary features no one uses anyways! Upon researching Amazon, found many good items and loved this one. Color is Ivory (awesome classy!), has a smooth satin matt finish, elegant design and works perfect and the look and feel is very European. Like the other buyer here said in another review, the phone gets noticed immediately and people ask the brand name and model. Comes with a belt clip on handset. Sound is very clear and speaker function works for conferences and does not give any hollow echo. Worth a try!",verified
"These batteries absolutely will NOT fit a Garmin 650 as stated. The Garmin 650 uses a 2 wire connector and this is a 3 wire connector. DO NOT BUY this Product if you are trying to replace the battery in a Garmin 650 it is a waste of time. Also the will not answer the phone or reply to emails. Sometimes low price means it is junk. Also these are Li-Po batteries, Garmin uses Li-Ion in there units. I am stuck with 2 batteries I will never use unless I can find a device that uses a 3 wire connector.",verified
"So far is working fine, hopefully the cord won't break- it looks great, well made, it seems much better that the one I ordered before from a different  provider",verified
Rather bulky.,verified
"I ordered this car charger for my husband's truck after I purchased the same charger for myself at a local big box store for 3 times as much.  The charger arrived very fast, within 3 days after I ordered.  The product is the same (minus the elaborate packaging) as I purchased.<br /><br />I love this charger.  It fits into the cigarette lighter and you can't tell it is there.  Any  device that uses a usb plug in for charging can use it. It also has two ports for plug-ins so I can charge my phone at the same time as my son has his ITouch charging. Thanks Amazon!",verified
I did not get anything!!!!!!!,verified
"$7.99 for a sticker plus $5.99 for shipping in a simple envelope!!! Way, way overpriced.!!! If it was not for my daughter, I would have sent it back and asked for double the price in return. Do not waste your money on this cheap junk!!!",verified
"AppRadio 3 review:<br />Radio is great. Have to buy some extra parts, but if you dont like it - then buy cheaper option.<br /><br />BuyBuyDigital review:<br />Item serial number was ripped off. Missing instruction manual. Item would not work. Returned via Amazon Prime (always use them so I wont have to deal directly with vendor). Just ordered another unit from a different seller via Amazon Prime.",verified
Does what it says. You do need to push past the broken English instructions to set it up but after that it works wonderfully. A little calibration is in order as well I suppose. But I'm happy with it so far we'll see over the next few days..,verified
This is a great cd holder. I use it for my games and it truly protect it all the way and i accidentally stepped on it and all games were perfectly fine. I totally recommend it :D,verified
DO NOT BUY this is a piece of junk. I could never get it to work. you know the saying you get what you pay for. Don't waste your time.,verified
"My biggest complaint about this case is it has no hole for a person to be able to plug in their head phones. I don't use bluetooth headphones and don't plan to either. There should be a hole..lol. I just don't get why there isn't... makes no sense. Plus, the tray that you place your ipod in doesn't keep it secure especially when you open it up. It can and does slide around easily which can and will cause scratches on the back. Would be better if it had a clip down design.    I just recently bought an Ipod touch 4th generation. It's seems there's not much of a selection of leather flip type cases right now that aren't expensive. I mean I can see how buying something that costs 30 bucks to protect your ipod might be worth it considering how much the ipods are... it would be a good investment (mostly). Although, in my mind at times, I go back to it just being a case to protect my ipod, so it's hard to justify on spending that much money. I want something that keeps my touch safe from being shattered or scraped if it were to drop on the floor. Also I wanted something that didn't make it obvious that I was carrying an ipod touch around... Something that won't cause damage to it while protecting it either. I guess I really couldn't expect much from a 9 dollar item. I already looked else where on amazon and bought a completely different and better designed leather flip case for 20 dollars.",verified
Wonderful bargain... they are work and wear as promised... works as replacement part --great.<br />I would definitely buy them again and again.<br />thank you!,verified
Does the job..Keeps sun glare down.This clip on shade is good for all 5&#34; GPS screens.Metal wire covered in a silicone tube used<br />so it will not melt or warp.As others are cheap plastic that will warp and loose its grip and may fall off.,verified
Best price I found on the internet for this item.  I used to repair a friends broken bracket.  This bracket is better than original equipment.,verified
Case arrived promptly and in new condition.  Case was as I expected.  I now have a convenience and safe place to store my nano and earbuds!,verified
I pad and I phone keep getting message it is not Apple product and you have to unplug and plug again for it to work. Very dissatisfied just ordered two Apple cords.,verified
